,followers,genres,id,name,popularity
62,5281,['poetry'],33PtzSjT25Ve4MwKu3xNff,Dylan Thomas,25
63,17,[],1UMCj1ixpKQ4Bg9VWsqQel,Cassandra Millen,40
64,73712,"['metalcore', 'post-screamo']",5FjQVp1Lb0kltmwIuu5kfj,Dayseeker,56
65,1489,[],6zXxD2q2MDoVWsTBd0WCd5,Bantug,17
66,411144,"['alternative rock', 'blues rock', 'classic rock', 'jam band', 'mellow gold', 'pop rock', 'rock']",3pHeBYl1yujXcZqqfF1UyQ,Blues Traveler,57
67,118978,"['nintendocore', 'post-hardcore', 'progressive post-hardcore', 'screamo', 'swancore']",5fuQrhMRYMtoO9uOlFad4P,The Fall of Troy,49
68,1008,['manitoba indie'],40LzaNxYeMt3RVPw6dHJRy,Okay Mann,30
69,118237,"['indie pop', 'irish pop']",3ajf12ub55b51qcS94d9Co,Orla Gartland,54
70,1314,['chill out'],3s1vSYK2eb5fflFHezIbUh,Valante,47
71,496851,"['freak folk', 'indie rock']",1YZEoYFXx4AxVv13OiOPvZ,Devendra Banhart,62
72,26937,"['funk', 'jazz blues', 'jazz saxophone', 'soul', 'soul jazz']",0WxOgeRxUt0MwPrI7A5atQ,King Curtis,45
73,1285683,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'swedish pop']",2SHhfs4BiDxGQ3oxqf0UHY,Roxette,73
74,803,['nwobhm'],0LRGRmVKnmhwnmAWWTxn8Z,Savage,14
75,54246170,"['pop', 'post-teen pop']",66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,97
76,21162,"['dubstep', 'experimental bass']",2eqKyzfDwncG8apOXQYCbt,Lucii,45
77,1223175,['k-pop'],5BHFSMEjfLVx1JwRWjAOsE,SuperM,68
78,7758,"['christian indie', 'roots worship']",3jPKY265XrMlohnJw3nGt0,Waterdeep,28
79,7064152,"['pop', 'talent show', 'uk pop']",4IWBUUAFIplrNtaOHcJPRM,James Arthur,85
80,3718,[],0dhKIZOcVIhpS5IcsUATkH,Shorelines,26
81,31420,"['cartoon', ""children's music""]",4rB5wLJLaXdMrXaYsOYLmK,Barney,55
82,18011091,"['australian dance', 'australian pop', 'dance pop', 'pop', 'pop dance']",5WUlDfRSoLAfcVSX1WnrxN,Sia,89
83,72841,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'doo-wop', 'folk rock', 'motown', 'rhythm and blues', 'rock-and-roll']",05sIdEkXAYDbDDdv3T56Oj,The Chiffons,48
84,178530,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock']",5rX1EodZfwxmW4fQX2Caot,Jonny Lang,48
85,435461,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'roots worship', 'uk worship', 'world worship', 'worship']",0bz9hDpUbAw5JElgEiuIYZ,Matt Redman,61
86,3146,"['asheville indie', 'kindie rock']",7zhRp9EH4bF8lJx7wQtj5Q,Secret Agent 23 Skidoo,23
87,6482,['indie hip hop'],3XlPXxJwM5utJ5D0PiBugV,whiterosemoxie,45
88,56393,"['alternative country', 'deep new americana', 'indie folk', 'modern southern rock', 'new americana', 'roots americana']",26C2AjqgMr5aDzj6Yp2ORz,Brent Cobb,54
89,14665424,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",2wY79sveU1sp5g7SokKOiI,Sam Smith,89
90,1543303,"['acoustic pop', 'lilith', 'neo mellow', 'pop', 'pop rock']",2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,72
91,1855219,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,69
92,7177,"['beach music', 'brill building pop', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues']",0a1BmEq1mZ5ufKMC2fsziR,The Tymes,36
93,70,[],3CAe04TEaKSxEMemLZqw3X,Eyla Calmes,55
94,6195791,"['pop punk', 'punk', 'socal pop punk']",6FBDaR13swtiWwGhX1WQsP,blink-182,79
95,4755,['bubblegrunge'],3yZV7kMGClXfw0xaPAlImS,Snarls,32
96,351272,"['art pop', 'chamber pop', 'chamber psych', 'dream pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'new jersey indie', 'stomp and holler']",2wJ4vsxWd7df7dRU4KcoDe,Sharon Van Etten,63
97,944,"['canadian folk', 'montreal indie']",3puoZ6FIQPCCA2mX9Yh6fU,Geneviève Racette,31
98,74336,"['chamber psych', 'indie rock', 'modern jangle pop', 'modern rock']",65mMkD9WW39U9Yadv0dWUF,Rolling Blackouts Coastal Fever,50
99,364887,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,59
100,22456,"['modern blues rock', 'modern hard rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",0zpMEtJmjRr1MKFveLQqeZ,The Heavy Eyes,39
101,659964,"['alternative pop rock', 'modern alternative rock', 'modern rock', 'rock']",1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves,72
102,233250,"['brill building pop', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']",6TqQLejnHXMGr7KcegxUND,The Miracles,50
103,4432877,"['australian psych', 'neo-psychedelic']",5INjqkS1o8h1imAzPqGZBb,Tame Impala,82
104,244,[],2PDSuVvSKWLMFtb4j2O06t,Lenox Livingroom Sessions,43
105,12144,"['blues rock', 'modern blues', 'modern blues rock', 'power blues-rock']",6JhsZANOSVD2dnJt1ZHr3z,Tony Spinner,34
106,5894037,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,76
107,1799629,"['reggae fusion', 'ska mexicano', 'ska punk']",0EdvGhlC1FkGItLOWQzG4J,Sublime,72
108,3552748,"['alternative metal', 'modern rock', 'nu metal', 'rap metal', 'rap rock']",4RddZ3iHvSpGV4dvATac9X,Papa Roach,74
109,2619743,"['neo mellow', 'pop rock', 'viral pop']",7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,74
110,6215478,"['australian pop', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",5CCwRZC6euC8Odo6y9X8jr,Rita Ora,77
111,1055778,[],0LyfQWJT6nXafLPZqxe9Of,Various Artists,0
