,followers,genres,id,name,popularity
566,497,[],1qbdguQmvfReqeUnLezmAx,Robert Elovsson,51
567,6076,['modern alternative rock'],3AqJEHlSivoMSqsVYQ595n,Rad Horror,34
568,21997,['modern alternative rock'],2asx6eXv9qzj5rA0ESrdO3,Liily,39
569,65234,['melancholia'],2buJppisWV2GWWBWgkK074,The Swell Season,39
570,1160926,"['adult standards', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",3rfgbfpPSfXY40lzRK7Syt,Barry White,68
571,255,[],2eHBC9EgV3QrftkihlSUws,Andrew Sachs,7
572,459,[],5Sa8o3V80M1LNtn5tzdxbt,Gabrielle Stravelli,24
573,14387,['viral pop'],2hM7Rb0V5wKjvDEgYt1zed,Amanda Yang,54
574,244,"['country blues', 'delta blues']",5AK5GroO11AWwphIKoPcGG,John Henry Barbee,11
575,27361,"['appalachian folk', 'banjo', 'bluegrass', 'country rock', 'folk', 'jam band', 'old-time', 'progressive bluegrass', 'traditional folk']",0NAr5zThPfMx26ISgooQK6,John Hartford,44
576,6294,"['djent', 'progressive post-hardcore']",6dW9mkTQTr10cm2Lv4pPuY,Aviations,32
577,5692,"['scorecore', 'video game music']",2CXwRGFTYdcEAI44NT7qDR,Olivier Deriviere,45
578,64718,"['c-pop', 'cantopop']",1IDuSpntFl2Mutofvrrutc,Jason Chan,51
579,749,['christmas instrumental'],5abWpggjZABRz6VzlVjzyo,Mila Crowell,58
580,5823,['swedish pop'],4XtfY4CBieEfqF3CSiPrRx,SVEA,54
581,97,[],6LBUGX8ISsCGQwxPfqgNCk,Charles Boyer,3
582,964232,"['indie folk', 'stomp and holler', 'swedish americana', 'swedish country']",21egYD1eInY6bGFcniCRT1,First Aid Kit,65
583,41701,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'vocal harmony group']",673J686eeEXMYJorgQ70lX,The Fleetwoods,49
584,111849,"['dutch tech house', 'electronica', 'house', 'microhouse', 'minimal techno', 'progressive house', 'tech house']",4jGpKAmwvU263l0tUh4xKU,Joris Voorn,58
585,12651,"['australian post-hardcore', 'metallic hardcore']",0lXAdLcUREgif33yNEmyf8,Justice For The Damned,33
586,2478,"['calming instrumental', 'focus', 'neo-classical']",4wkhNurLn15nvnOh3O8yCV,Peter Cavallo,59
587,94420,"['death metal', 'greek metal', 'melodic death metal', 'metal', 'symphonic death metal', 'symphonic metal']",5MlEt7qqXqNSReeX76xK6b,Septicflesh,45
588,8883,"['christelijk', 'uk worship']",13Ir7pfxQ5ZkpCHaD2NoX2,Philippa Hanna,41
