,followers,genres,id,name,popularity
102,536699,"['contemporary country', 'pop', 'texas country']",6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,76
103,81541,['pixie'],3Cpk1xlScqbYhmv5EqoI4Y,First to Eleven,55
104,769,[],3fzqfZC3rBZBOa6xi4JQUc,Pigs,31
105,242374,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",3EY5DxGdy7x4GelivOjS2Q,Connie Francis,58
106,3849,[],09qbbuYgbAysaJDRlCkbT6,Rena Jones,28
107,4249,"['gothenburg hip hop', 'swedish hip hop', 'swedish trap pop']",0SiKXP7Ak60VxFUEcLFz8R,BENNETT,38
108,2917,"['liverpool indie', 'manchester indie']",03Xxe7sWXZW0NlayYQQHIn,Abbie Ozard,34
109,112783,"['finnish heavy metal', 'finnish power metal', 'melodic metal', 'power metal']",0rEuaTPLMhlViNCJrg3NEH,Beast In Black,59
110,3037,['jamgrass'],7vBzjAyp4JCqLnF7Uq9fiy,Hart Valley Drifters,26
111,470301,"['anti-folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']",5o206eFLx38glA2bb4zqIU,Bright Eyes,64
112,5302,['euphoric hardstyle'],4FSHCrSzZlOrwOMmEInVwf,Stormerz,41
113,42261,"['downtempo', 'electronica', 'indie dream pop', 'indie soul', 'new french touch', 'vapor soul', 'vapor twitch']",4zAOqBfNLyWFvj1e3yvypJ,Catching Flies,51
114,4253,"['melodic metal', 'swedish progressive metal']",65X6T9OJ2gXGpkc1DgrYgR,Paralydium,23
115,2840,['uk tech house'],6YycIIoEl49FGVdmgsABea,Kydus,42
116,516647,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'rap']",30fiiwr2EeZp1tAhzYCmyM,Big L,59
117,292,[],354RDozhHdCsBIxXe47KaD,Angry Youth Elite,14
118,12231,"['chillhop', 'focus beats', 'jazz boom bap', 'lo-fi beats']",2cg9jlWp1QRc0Sk6kTp9Ez,Stan Forebee,54
119,1888,[],7iUozbj4mpGiS8efljAJMi,Fredrik Swahn,24
120,4412,[],7HAtx5NQdSLx2cojxM1BDC,The Child of Lov,25
121,7,[],7mdXCgprfvNzxRQsjuUwy8,Nigel Lambert,1
122,2765,[],2OVh8vBXmBS9Sc5w6G5Ko9,Nambyar,38
123,193391,"['neo soul', 'r&b', 'urban contemporary']",4hVcxmC7igpot32EzQf7IR,Amel Larrieux,43
124,77302,"['big room', 'edm', 'electro house', 'german techno', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tech house']",4xgFgBZ7CRtgtHcziClOwQ,Moguai,63
125,292941,"['funk', 'p funk', 'soul']",2GVBp7QyHckoOg7rYkLvrA,George Clinton,57
126,394121,['indie pop'],3zmfs9cQwzJl575W1ZYXeT,Men I Trust,66
127,35077,['video game music'],7d58WZ8qQHy2Sm5p52V2NP,Aperture Science Psychoacoustic Laboratories,50
128,723735,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']",6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,67
129,20061,"['modern alternative rock', 'welsh indie']",71NBOcJ9lMeXqnbnya1z0x,Himalayas,45
130,9573,['strut'],1MPCKhktsStR2Hnj1s2fvC,Latrice Royale,26
131,11094,"['bass house', 'persian electronic']",21j2G9IPn9QLHII7faCOsw,Ardalan,39
132,2411,['neo-traditional bluegrass'],5XnIs71alIkgnppdguHNEz,10 String Symphony,26
133,38235,"['glam metal', 'sleaze rock', 'swedish alternative rock', 'swedish hard rock']",1cB013ULmW96lglRcrWTut,Crashdïet,38
134,9007,"['contemporary country', 'country pop']",7dMEBGtGI6O7PoTEucAaBT,Ryan Griffin,44
135,52711,"['acoustic pop', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",4SOtk3HtPYKqxnVuxNBMti,Donovan Woods,61
136,28650,"['lo star', 'modern folk rock']",62pBNClOEZJEyRXrzC2CtI,The Apache Relay,40
137,33381,"['bebop', 'hammond organ', 'hard bop', 'instrumental funk', 'jazz funk', 'jazz organ', 'soul jazz']",1ZpPJRe9erwiWi548SKVyn,Dr. Lonnie Smith,42
138,38447,[],3Bd1phrOZJuCev9U0bzdtA,Ben Nicky,48
139,34365,"['british soundtrack', 'scorecore', 'soundtrack']",6S9bLkEZSVIcY18RNcNG50,Nicholas Hooper,61
140,1748,['nashville singer-songwriter'],7jKKTuM4iwzCuZ790quOMI,Hank Compton,30
141,218728,"['blues rock', 'country rock', 'folk rock', 'jam band', 'jamgrass', 'mellow gold', 'rock', 'roots rock', 'traditional folk']",3QDaXfnxfQqqJQK5lSdjLN,Jerry Garcia,57
142,6830,"['australian post-hardcore', 'metalcore', 'progressive metalcore']",1BvVWm89YnIqEVnQiGvBLx,"Above, Below",25
143,25181,['faroese pop'],1lrjRRYpYP8kVTlHLShjJM,Teitur,40
144,77110,"['alternative r&b', 'indie r&b', 'indie soul', 'neo r&b', 'nyc pop']",5sKvgmG84C0bIMWeS2SRPr,Brasstracks,56
145,479,[],3wWq8kCeAax5clZ3Nv941p,The Crease Rule,18
146,232429,"['permanent wave', 'piano rock', 'pop rock']",55tif8708yyDQlSjh3Trdu,Ben Folds,55
147,534818,"['k-pop', 'k-pop boy group']",6dCz3spfpIvqqqsIoP6wXi,CNBLUE,57
148,154,['vintage radio show'],4hl968J2P5oE7fKGvFh3Eg,Dick Tracy,1
149,15706,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",0NRN3tnDVDspHMCfyu2ZwT,The Shadows Of Knight,31
150,431164,"['alternative r&b', 'dance pop', 'indie soul', 'neo soul', 'r&b', 'uk contemporary r&b']",7aFTOGFDEqDtJUCziLVsVC,Nao,63
151,10793,['la indie'],0CNehpGYdxk87YYMiBpnyP,Holly Miranda,33
152,9971,['neo-classical'],4yanWaefFUJnIUV0aITdvV,Florian Christl,55
153,22679,"['ambient', 'drift', 'drone', 'fourth world', 'moog']",00gh6kmKYOu8xyorRxQm6a,Steve Roach,39
154,945190,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,77
155,12173,"['belgian indie', 'belgian post-rock', 'belgian rock', 'ghent indie']",2EhKugPFLPLqUSXDfTffEm,Amatorski,30
156,2700,[],59ZXbf3WoWxlbCewmyIs2a,Life Is Better Blonde,28
157,217,['chinese classical'],0mgcz8GyOUblVZJI1IjEDc,Chou Wen-chung,4
158,738,[],0yHnhg6YZHrFZ0Dg1LRe7w,ELYX,45
159,96299,"['classic italian pop', 'italian adult pop', 'italian alternative']",6C3OLzdOvBI9yCOCf7iC4E,Carmen Consoli,50
160,73,[],356KdDxPATOYtRwDL6edO2,Peter Yorke,7
161,8703,"['australian metal', 'deep folk metal', 'pirate']",7rdELsS0UW8P27qyWJsiSG,Lagerstein,33
162,273,['environmental'],0cmkywqXv8nolEIn8ppzgO,Gentle Rain Makers,53
163,3135,['german jazz'],5aGDLSvR2WKbkPkXgQW3Wt,Malakoff Kowalski,32
164,3774,"['dancehall', 'riddim']",6MCVsi6GS30CyBcLvhKcRg,Bramma,14
165,46898,[],4n07t89zwwIvAfHvgvdCWf,Didomido,57
166,508279,"['art rock', 'british folk', 'folk', 'folk rock', 'freak folk', 'melancholia', 'rock', 'singer-songwriter']",5c3GLXai8YOMid29ZEuR9y,Nick Drake,64
167,7112,"['arab trap', 'bass trap', 'traprun', 'turkish trap']",45YI93cvo54OYOBHiNI9zL,Onur Ormen,45
168,34916,"['mandopop', 'taiwan pop']",4kVy1sDTGmCWzxmzY6soNZ,Alien Huang,58
169,2226,[],3fvn4MvWJXwY17wpwnlgJN,Donnie,31
170,1004,[],0kUsW40KML1SWGeOAvGtzD,Miss Grit,18
171,1007,[],5cfH54QvQybwIXXfoCEeIt,Aiden Myers,27
172,25405,['cosmic black metal'],37Vukf7o6CBPG68BRDpStb,Ghost Bath,30
173,464680,"['modern alternative rock', 'modern rock', 'neon pop punk', 'pop emo', 'pop punk', 'pop rock', 'post-teen pop', 'tempe indie']",4o0pNHbyj36LPvukNqEug0,The Maine,43
174,745525,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul,63
175,10496,"['rawstyle', 'uptempo hardcore', 'xtra raw']",5J3RIw3YwgyXeosItjR9GY,Riot Shift,42
176,71227,"['bass house', 'brostep', 'deep groove house', 'edm', 'electro house', 'fidget house', 'house']",6EqFMCnVGBRNmwPlk2f3Uc,AC Slater,54
177,119060,"['big room', 'deep big room', 'edm', 'electro house', 'melbourne bounce']",3PtCud9dIdOv4exrzdZZ1C,MAKJ,62
178,564,['experimental indie'],5Dig9tiMhGfDlwUgj49NoV,Caitlin Pasko,20
179,500,[],3uzkKm1uj1EWWY0uxkEqZA,Nina Soro,28
180,195,[],7h7WDtiDWqcWGYGgSZfdSE,The Angels,13
181,337,"['ballet class', 'british classical piano']",52fKD3kIx34ThX7Okr9H8j,Anthony Goldstone,22
182,3187,"['deep soft rock', 'jazz fusion']",3RPnyf7t9phTwwSzQgaZYb,David Garfield,38
183,230990,"['k-pop', 'korean r&b']",6y9nlaoynxSvoTGY09Vdcy,WOODZ,60
184,71,['drama'],33cMCD1jQSTVYDBsjLCmph,Sarah Wayne Callies,1
185,951,['footwork'],0ehqzJzgBzhTRcOd0BqgCs,Young Smoke,29
186,303,[],1kU0UlLxEnWOfLnmUQHBpd,Etienne Balestre,49
187,29778,"['la indie', 'modern alternative rock']",2TdEIqWbLnZZHYRDWvVj67,Battle Tapes,48
188,1777,[],2O8Fgh14LT9QBGfFM5q5Rb,imagiro,53
189,546,['lo-fi beats'],1xMxQQ71TIGQgzH4NY0ECM,Peter Kind,55
190,4224,"['hyperpop', 'utah indie']",2StukZYqvy5IZmVestMrWo,Madge,45
191,17295,['sleep'],14RkTXnwrf6D09TfPWcR5C,Massage Tribe,56
192,11,['chill out'],6ZwI5BEf3SVNDkdOKFpxKQ,Mateo Hill,35
193,104613,[],2qdONMCoDngQk0eV4Avs1i,Natalie La Rose,53
194,30277,"['anthem emo', 'easycore', 'pop punk']",2Dr2zHoPEuASW1kOODc5I2,Carousel Kings,38
195,78296,['oslo indie'],7K4k5g1ie2qHIH42UMNO7n,Katzenjammer,52
196,10,[],5E9MzHtNIfaJkzcMvZaVso,Nature Sounds by Brice Salek,0
197,4354494,"['alternative metal', 'nu metal']",0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,76
198,95099,"['k-pop', 'korean pop']",1lFLniFTaPjYCtQZvDXpqu,SEJEONG,53
199,646399,"['alternative dance', 'auckland indie', 'electropop', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'kiwi rock', 'metropopolis', 'modern rock', 'shimmer pop']",0oeUpvxWsC8bWS6SnpU8b9,The Naked And Famous,60
200,18105,['shimmer pop'],7y5xCKz1V2iSh1YsOLyOPH,Parachute Youth,36
201,3335,"['nashville americana', 'roots americana']",4d7vxlNVahWbjoKO3ZBHD4,Gabe Lee,33
202,5380,"['chillhop', 'lo-fi beats']",18hiqhddMloGWzY8pNZ8qr,Maple Syrup,40
203,9,[],0xLbREzA0im1nSc86Fcmx4,"Perfume Genius, Sharon Van Etten & Friends",23
204,2660,[],6aCwsQjUP48EpyHtxW8LBo,Felixx,31
205,305118,"['black metal', 'black thrash', 'british black metal', 'death metal', 'hard rock', 'metal', 'nwobhm', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",5fwaejlOHVBAw1KhIPPaQe,Venom,47
206,6345,[],1AbcKIsIR4SV7pPdm0GRsd,brother sundance,39
